product_name,price,product_category_l1,product_category_l2,product_category_l3,processed_timestamp
Akun Google Adwords Untuk Iklan Di Google,Rp1.249.000,Komputer & Aksesoris,Software,Software Lainnya,2022-08-31 18:33:53
GOOGLE Nest Mini 2 / 2nd Gen / 2nd Generation 2020 Speaker,Rp539.000,Handphone & Aksesoris,Handphone & Tablet Aksesoris,Stylus,2022-08-31 18:33:53
Google Pixel 4 Ram 6/64GB Super Mulus Like New Murah Bergaransi Imei Selamanya,Rp2.200.000 - Rp2.699.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
Google Pixel 3A Super Mulus Like New Istimewa Murah ALL PROVIDER INDONESIA,Rp1.350.000 - Rp1.690.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
GOOGLE PIXEL 3A LIKE NEW  - RAM 4GB - INTERNAL 64GB - FREE CHARGER - SINYAL 4G,Rp1.280.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
gogle pixel 3,Rp1.400.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
Google Pixel 3 XL 128 GB Clearly White,Rp3.000.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
Google Pixel 4 XL 6/128 & 6/64 IMEI PERMANEN alt Pixel 6 Pixel4 4XL 3 5,Rp3.264.000 - Rp4.692.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
Google Pixel 4 6/128 & 6/64 IMEI PERMANEN alt Pixel 6 Pixel4 4XL 3 5,Rp2.856.000 - Rp4.080.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
GOOGLE PIXEL 3A 4-64GB SEKEN ORIGNAL,Rp1.299.000 - Rp1.535.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
Xiaomi Poco X3 pro,Rp2.999.999,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
GOOGLE PIXEL 4 - Internal 64GB & 128GB - MULUS LIKE NEW - SUPPORT SEMUA KARTU SIM - SINYAL BERGARANSI,Rp2.200.000 - Rp2.445.000,Handphone & Aksesoris,Handphone,Handphone Lainnya,2022-08-31 18:33:53
