product_name,price,product_category_l1,product_category_l2,product_category_l3,processed_timestamp
Jam tangan SMARTWATCH T55 double strap bisa telfon dan ganti walpaper,Rp84.800 - Rp129.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
Olike Smartwatch Azure Jam Tangan Pintar Smart Life Assistant Bluetooth 5.2 Garansi Resmi 1 Tahun OW-W4,Rp299.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
SmartWatch Sport Tahan Bluetooth Smart Watch Pelacak Kebugaran Gelang Pedometer Heart Rate,Rp50.800,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
Jam tangan SMARTWATCH T55 & T500 Double strap bisa telfon dan ganti walpaper jam tangan wanita,Rp84.900 - Rp96.000,Jam Tangan,Jam Tangan Pria,Digital,2022-08-31 18:49:17
[Murah Lebay] Jam Tangan T500 T55 Smartwatch Full Screen Watch Pemutar Musik Monitor Detak Jantung Tekanan Darah,Rp52.500 - Rp118.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
Jam Tangan T500 T55 Smartwatch Full Screen Watch Pemutar Musik Monitor Detak Jantung Tekanan Darah,Rp52.999,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
Smartwatch 115Plus Pengingat Panggilan Detak Jantung Monitor Tidur Bluetooth Smartwatch,Rp39.000 - Rp40.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
ORI Xiaomi Mi Band M7 Jam Tangan Xiaomi SmartWatch Smartband Smart Waterproof Smart Watch Support Android iOs TERMURAH,Rp99.880,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
smartwatch  T500 hiwatch / Jam tangan pintar MODEL  T500 / T500 HIWATCH LAYAR CERAH,Rp150.000 - Rp245.000,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
"(ORI BERGARANSI) SMARTWATCH T500+ / T500PLUS / T500+PRO FULL LAYAR (BISA CUSTOM FOTO, TELPONAN , NOTIFIKASI DLL | JAM TANGAN PINTAR",Rp39.999 - Rp199.999,Handphone & Aksesoris,Perangkat Wearable,Smartwatch & Fitness Tracker,2022-08-31 18:49:17
